t,FOOT_FLF,FOOT_FRF,FOOT_RLF,FOOT_RRF,MID_FLM,MID_FRM,MID_RLM,MID_RRM,SHOULDER_FL,SHOULDER_FR,SHOULDER_RL,SHOULDER_RR,offset_change,pitch,posture_pitch,posture_roll,roll,roll_effort
1768602609.333,63.14,132.17,80.31,131.25,165.0,104.0,154.0,102.0,42.22,33.22,34.22,34.22,1.5,0.18,0.0,0.0,5.42,1.982
1768602609.394,65.18,134.54,82.68,133.28,165.0,104.0,154.0,102.0,43.72,34.72,35.72,35.72,1.5,0.24,0.0,0.0,3.16,1.894
1768602609.456,67.37,136.27,84.41,135.47,165.0,104.0,154.0,102.0,45.22,36.22,37.22,37.22,1.5,0.1,0.0,0.0,0.88,1.823
1768602609.519,68.87,138.07,86.19,136.97,165.0,104.0,154.0,102.0,46.72,37.72,38.72,38.72,1.5,0.07,0.0,0.0,-1.65,2.151
1768602609.582,70.15,139.16,87.27,138.24,165.0,104.0,154.0,102.0,48.22,39.22,40.22,40.22,1.5,0.08,0.0,0.0,-3.42,0.947
1768602609.645,70.68,140.0,88.09,138.77,165.0,104.0,154.0,102.0,49.72,40.72,41.72,41.72,1.5,0.13,0.0,0.0,-4.86,1.01
1768602609.708,70.82,140.14,88.22,138.9,165.0,104.0,154.0,102.0,51.22,42.22,43.22,43.22,1.5,0.23,0.0,0.0,-6.24,1.156
1768602609.77,70.03,140.1,88.16,138.1,165.0,104.0,154.0,102.0,52.49,43.49,44.49,44.49,1.263,0.46,0.0,0.0,-7.49,0.799
1768602609.833,69.23,139.0,87.05,137.29,165.0,104.0,154.0,102.0,52.64,43.64,44.64,44.64,0.149,0.42,0.0,0.0,-8.02,0.149
1768602609.895,67.82,137.6,85.63,135.88,165.0,104.0,154.0,102.0,52.58,43.58,44.58,44.58,0.052,0.44,0.0,0.0,-8.14,0.052
1768602609.957,66.3,135.48,83.49,134.35,165.0,104.0,154.0,102.0,52.45,43.45,44.45,44.45,0.131,0.24,0.0,0.0,-8.23,0.131
1768602610.019,64.19,133.36,81.38,132.25,165.0,104.0,154.0,102.0,51.75,42.75,43.75,43.75,0.702,0.16,0.0,0.0,-7.73,0.702
1768602610.082,61.8,131.18,79.18,129.85,165.0,104.0,154.0,102.0,50.85,41.85,42.85,42.85,0.897,0.22,0.0,0.0,-6.74,0.897
1768602610.144,59.47,128.85,76.86,127.53,165.0,104.0,154.0,102.0,49.35,40.35,41.35,41.35,1.5,0.26,0.0,0.0,-5.14,1.654
1768602610.206,57.36,126.42,74.44,125.41,165.0,104.0,154.0,102.0,47.85,38.85,39.85,39.85,1.5,0.14,0.0,0.0,-2.8,2.212
1768602610.268,55.22,124.43,72.46,123.28,165.0,104.0,154.0,102.0,46.35,37.35,38.35,38.35,1.5,0.12,0.0,0.0,-0.72,1.504
1768602610.331,53.64,122.47,70.51,121.7,165.0,104.0,154.0,102.0,44.85,35.85,36.85,36.85,1.5,-0.05,0.0,0.0,1.49,1.733
1768602610.393,52.3,121.13,69.17,120.36,165.0,104.0,154.0,102.0,43.35,34.35,35.35,35.35,1.5,-0.05,0.0,0.0,3.6,1.67
1768602610.455,51.26,120.42,68.49,119.33,165.0,104.0,154.0,102.0,41.85,32.85,33.85,33.85,1.5,0.1,0.0,0.0,5.49,1.431
1768602610.517,51.16,119.85,67.93,119.24,165.0,104.0,154.0,102.0,40.35,31.35,32.35,32.35,1.5,-0.09,0.0,0.0,7.07,1.048
1768602610.579,51.37,120.05,68.15,119.45,165.0,104.0,154.0,102.0,38.99,29.99,30.99,30.99,1.358,-0.17,0.0,0.0,8.12,0.606
1768602610.641,52.03,120.87,68.98,120.12,165.0,104.0,154.0,102.0,38.3,29.3,30.3,30.3,0.696,-0.09,0.0,0.0,9.02,0.696
1768602610.704,53.22,122.18,70.3,121.31,165.0,104.0,154.0,102.0,38.03,29.03,30.03,30.03,0.268,-0.02,0.0,0.0,9.56,0.268
1768602610.767,54.9,123.86,72.0,123.0,165.0,104.0,154.0,102.0,37.92,28.92,29.92,29.92,0.108,-0.04,0.0,0.0,9.94,0.108
1768602610.83,57.02,125.8,73.94,125.12,165.0,104.0,154.0,102.0,38.86,29.86,30.86,30.86,0.937,-0.13,0.0,0.0,9.33,0.937
1768602610.892,60.02,127.28,77.39,126.16,165.0,104.0,153.51,102.49,39.76,30.76,31.76,31.76,0.905,0.06,0.0,0.0,8.44,0.905
1768602610.955,63.29,128.74,80.85,127.43,165.0,104.0,152.91,103.09,41.01,32.01,33.01,33.01,1.246,0.28,0.0,0.0,7.15,1.246
1768602611.017,68.09,128.54,82.65,130.22,165.0,104.0,152.31,103.69,42.51,33.51,34.51,34.51,1.5,0.14,0.0,0.0,5.22,6.949
1768602611.079,72.73,128.18,84.29,132.87,165.0,104.0,151.71,104.29,44.01,35.01,36.01,36.01,1.5,0.32,0.0,0.0,2.94,0.879
1768602611.141,75.31,129.37,87.46,133.44,165.0,104.0,151.11,104.89,45.51,36.51,37.51,37.51,1.5,0.81,0.0,0.0,0.37,1.059
1768602611.205,77.4,130.31,90.4,133.54,165.0,104.0,150.51,105.49,47.01,38.01,39.01,39.01,1.5,1.29,0.0,0.0,-1.87,0.693
1768602611.267,79.56,130.26,92.33,133.68,165.0,104.0,149.91,106.09,48.51,39.51,40.51,40.51,1.5,1.13,0.0,0.0,-3.37,0.24
1768602611.33,79.59,131.3,95.35,131.71,165.0,104.0,149.31,106.69,50.01,41.01,42.01,42.01,1.5,1.73,0.0,0.0,-5.41,0.391
1768602611.392,79.06,131.77,97.81,129.17,165.0,104.0,148.71,107.29,51.51,42.51,43.51,43.51,1.5,1.69,0.0,0.0,-6.87,0.946
1768602611.455,79.47,130.19,98.21,127.58,165.0,104.0,148.11,107.89,52.47,43.47,44.47,44.47,0.96,1.3,0.0,0.0,-7.71,0.304
1768602611.517,79.24,128.26,98.27,125.35,165.0,104.0,147.51,108.49,52.75,43.75,44.75,44.75,0.278,1.23,0.0,0.0,-8.15,0.278
1768602611.581,78.48,125.91,97.9,122.57,165.0,104.0,146.91,109.09,52.17,43.17,44.17,44.17,0.58,1.34,0.0,0.0,-7.93,0.58
1768602611.643,77.26,123.25,97.22,119.35,165.0,104.0,146.31,109.69,51.43,42.43,43.43,43.43,0.735,1.63,0.0,0.0,-7.35,0.735
1768602611.706,76.23,119.9,95.88,116.32,165.0,104.0,145.71,110.29,50.7,41.7,42.7,42.7,0.728,1.63,0.0,0.0,-6.42,0.728
1768602611.768,74.93,116.61,94.57,113.03,165.0,104.0,146.22,109.78,49.8,40.8,41.8,41.8,0.899,1.69,0.0,0.0,-5.5,0.899
1768602611.83,71.26,115.63,91.59,111.33,165.0,104.0,146.82,109.18,48.3,39.3,40.3,40.3,1.5,1.91,0.0,0.0,-3.63,1.863
1768602611.893,68.59,113.83,87.81,110.68,165.0,104.0,147.42,108.58,46.8,37.8,38.8,38.8,1.5,1.54,0.0,0.0,-1.86,1.35
1768602611.957,65.3,113.01,85.01,109.4,165.0,104.0,148.02,107.98,45.56,36.56,37.56,37.56,1.246,1.59,0.0,0.0,-0.38,1.032
1768602612.02,63.15,111.95,81.95,109.25,165.0,104.0,148.62,107.38,44.06,35.06,36.06,36.06,1.5,1.32,0.0,0.0,1.42,1.618
1768602612.082,60.65,112.02,80.04,108.76,165.0,104.0,149.22,106.78,42.62,33.62,34.62,34.62,1.439,1.46,0.0,0.0,3.11,1.321
1768602612.144,59.35,111.97,78.01,109.46,165.0,104.0,149.82,106.18,41.12,32.12,33.12,33.12,1.5,1.51,0.0,0.0,5.12,9.83
1768602612.207,58.21,112.83,76.88,110.32,165.0,104.0,150.42,105.58,39.62,30.62,31.62,31.62,1.5,1.62,0.0,0.0,6.23,0.457
1768602612.27,57.62,114.24,76.3,111.74,165.0,104.0,151.02,104.98,38.12,29.12,30.12,30.12,1.5,1.56,0.0,0.0,7.58,0.044
1768602612.331,57.43,116.3,76.38,113.56,165.0,104.0,151.62,104.38,36.62,27.62,28.62,28.62,1.5,1.69,0.0,0.0,9.02,0.074
1768602612.394,57.7,118.86,76.95,115.83,165.0,104.0,152.22,103.78,35.12,26.12,27.12,27.12,1.5,2.14,0.0,0.0,9.44,0.615
1768602612.457,58.1,122.07,78.18,118.23,165.0,104.0,152.82,103.18,36.62,27.62,28.62,28.62,1.5,1.97,0.0,0.0,10.01,3.763
1768602612.52,59.99,124.45,78.56,122.13,165.0,104.0,153.42,102.58,38.12,29.12,30.12,30.12,1.5,1.24,0.0,0.0,9.56,0.859
1768602612.582,61.61,127.46,79.58,125.75,165.0,104.0,154.02,101.98,39.62,30.62,31.62,31.62,1.5,0.77,0.0,0.0,8.07,1.658
1768602612.645,62.48,131.28,81.39,128.61,165.0,104.0,154.62,101.38,41.12,32.12,33.12,33.12,1.5,1.12,0.0,0.0,6.31,1.601
1768602612.709,63.98,134.45,82.56,132.12,165.0,104.0,155.22,100.78,42.62,33.62,34.62,34.62,1.5,1.08,0.0,0.0,3.92,2.285
1768602612.773,64.86,137.67,83.77,135.0,165.0,104.0,155.82,100.18,44.12,35.12,36.12,36.12,1.5,1.12,0.0,0.0,2.07,1.152
1768602612.837,65.81,140.29,84.38,137.94,165.0,104.0,156.42,99.58,45.62,36.62,37.62,37.62,1.5,0.97,0.0,0.0,-0.21,1.952
1768602612.897,65.94,142.83,84.9,140.06,165.0,104.0,157.02,98.98,47.12,38.12,39.12,39.12,1.5,1.01,0.0,0.0,-2.4,1.634
1768602612.959,66.25,144.15,84.22,142.37,165.0,104.0,157.62,98.38,48.62,39.62,40.62,40.62,1.5,0.75,0.0,0.0,-4.31,1.461
1768602613.021,65.29,145.71,83.76,143.4,165.0,104.0,158.22,97.78,50.12,41.12,42.12,42.12,1.5,0.77,0.0,0.0,-5.91,1.109
1768602613.081,63.5,147.03,83.06,143.61,165.0,104.0,158.82,97.18,51.62,42.62,43.62,43.62,1.5,1.27,0.0,0.0,-7.27,0.937
1768602613.142,63.27,145.79,79.81,145.37,165.0,104.0,159.42,96.58,53.12,44.12,45.12,45.12,1.5,1.24,0.0,0.0,-8.47,1.916
1768602613.202,62.56,144.09,76.1,146.66,165.0,104.0,158.82,97.18,54.12,45.12,46.12,46.12,1.0,1.46,0.0,0.0,-9.03,0.188
1768602613.263,62.98,140.42,74.42,145.08,165.0,104.0,158.22,97.78,54.19,45.19,46.19,46.19,0.071,1.54,0.0,0.0,-9.6,0.071
