t,roll,pitch,posture_roll,posture_pitch,roll_effort,offset_change,fsm,swing,brace
1766438679.531,-3.996,11.948,0.000,0.000,0.581,0.581,IDLE,None,0
1766438679.587,-3.389,10.409,0.000,0.000,0.459,0.459,IDLE,None,0
1766438679.644,-3.231,9.095,0.000,0.000,0.105,0.105,IDLE,None,0
1766438679.700,-3.101,8.032,0.000,0.000,0.024,0.000,IDLE,None,0
1766438679.756,-3.025,7.183,0.000,0.000,0.127,0.151,IDLE,None,0
1766438679.813,-3.166,6.573,0.000,0.000,0.249,0.249,IDLE,None,0
1766438679.869,-3.431,5.907,0.000,0.000,0.274,0.274,IDLE,None,0
1766438679.926,-3.458,5.107,0.000,0.000,0.064,0.064,IDLE,None,0
1766438679.982,-3.346,4.277,0.000,0.000,0.192,0.192,IDLE,None,0
1766438680.039,-3.336,3.640,0.000,0.000,0.049,0.000,IDLE,None,0
1766438680.095,-3.326,3.119,0.000,0.000,0.008,0.000,IDLE,None,0
1766438680.152,-3.225,2.524,0.000,0.000,0.147,0.106,IDLE,None,0
1766438680.208,-3.140,1.841,0.000,0.000,0.002,0.000,IDLE,None,0
1766438680.264,-3.275,1.163,0.000,0.000,0.181,0.179,IDLE,None,0
1766438680.320,-3.494,0.566,0.000,0.000,0.191,0.191,IDLE,None,0
1766438680.377,-3.408,0.084,0.000,0.000,0.222,0.222,IDLE,None,0
1766438680.434,-3.263,-0.203,0.000,0.000,0.126,0.126,IDLE,None,0
1766438680.490,-3.060,-0.358,0.000,0.000,0.208,0.208,IDLE,None,0
1766438680.546,-2.821,-0.168,0.000,0.000,0.206,0.206,IDLE,None,0
1766438680.603,-2.896,0.150,0.000,0.000,0.195,0.195,IDLE,None,0
1766438680.659,-3.223,0.491,0.000,0.000,0.434,0.434,IDLE,None,0
1766438680.715,-3.673,0.775,0.000,0.000,0.438,0.438,IDLE,None,0
1766438680.772,-4.174,1.011,0.000,0.000,0.410,0.410,IDLE,None,0
1766438680.828,-3.694,0.514,0.000,0.000,0.934,0.934,IDLE,None,0
1766438680.884,-3.107,0.192,0.000,0.000,0.479,0.479,IDLE,None,0
1766438680.941,-2.458,0.401,0.000,0.000,0.493,0.493,IDLE,None,0
1766438680.997,-1.954,0.363,0.000,0.000,0.385,0.385,IDLE,None,0
1766438681.054,-1.576,0.568,0.000,0.000,0.248,0.248,IDLE,None,0
